route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
6703,1,11690378,319 NEWTON EXCH,,1,1927771,248530,0,0
6703,1,11690379,319 NEWTON EXCH,,1,1927772,248530,0,0
6703,1,11690380,319 NEWTON EXCH,,1,1927763,248530,0,0
6703,1,11690381,319 NEWTON EXCH,,1,1927774,248530,0,0
6703,1,11690382,319 NEWTON EXCH,,1,1922578,248528,0,0
6703,1,11690383,319 NEWTON EXCH,,1,1927765,248528,0,0
6703,1,11690384,319 NEWTON EXCH,,1,1922546,248528,0,0
6703,1,11690385,319 NEWTON EXCH,,1,1927773,248530,0,0
6703,1,11690386,319 NEWTON EXCH,,1,1927775,248530,0,0
6703,1,11690387,319 NEWTON EXCH,,1,1927774,248530,0,0
6703,1,11690388,319 NEWTON EXCH,,1,1927767,248530,0,0
6703,1,11690389,319 NEWTON EXCH,,1,1927768,248530,0,0
6703,1,11690390,319 NEWTON EXCH,,1,1927764,248530,0,0
6703,1,11690391,319 NEWTON EXCH,,1,1927765,248530,0,0
6703,1,11690392,319 NEWTON EXCH,,1,1927770,248530,0,0
6703,1,11690393,319 NEWTON EXCH,,1,1927766,248530,0,0
6703,1,11690394,319 NEWTON EXCH,,1,1927767,248530,0,0
6703,1,11690395,319 NEWTON EXCH,,1,1927768,248530,0,0
6703,1,11690396,319 NEWTON EXCH,,1,1927764,248530,0,0
6703,1,11690397,319 NEWTON EXCH,,1,1927765,248530,0,0
6703,1,11690398,319 NEWTON EXCH,,1,1927774,248530,0,0
6703,1,11690399,319 NEWTON EXCH,,1,1927767,248530,0,0
6703,1,11690400,319 NEWTON EXCH,,1,1927768,248530,0,0
6703,1,11690401,319 NEWTON EXCH,,1,1927764,248530,0,0
6703,1,11690402,319 NEWTON EXCH,,1,1927765,248530,0,0
6703,1,11690403,319 NEWTON EXCH,,1,1927774,248530,0,0
6703,1,11690404,319 NEWTON EXCH,,1,1927771,248530,0,0
6703,1,11690405,319 NEWTON EXCH,,1,1927772,248530,0,0
6703,1,11690406,319 NEWTON EXCH,,1,1927764,248530,0,0
6703,1,11690407,319 NEWTON EXCH,,1,1927765,248530,0,0
6703,1,11690408,319 NEWTON EXCH,,1,1927774,248530,0,0
6703,1,11690409,319 NEWTON EXCH,,1,1927771,248530,0,0
6703,1,11690410,319 NEWTON EXCH,,1,1927772,248530,0,0
6703,1,11690411,319 NEWTON EXCH,,1,1927768,248530,0,0
6703,1,11690412,319 NEWTON EXCH,,1,1927764,248530,0,0
6703,1,11690413,319 NEWTON EXCH,,1,1927782,248530,0,0
6703,1,11690414,319 NEWTON EXCH,,1,1927774,248530,0,0
6703,1,11690415,319 NEWTON EXCH,,1,1927773,248530,0,0
6703,1,11690416,319 NEWTON EXCH,,1,1927770,248530,0,0
6703,1,11690417,319 NEWTON EXCH,,1,1927786,248530,0,0
6703,1,11690418,319 NEWTON EXCH,,1,1927772,248530,0,0
6703,1,11690419,319 NEWTON EXCH,,1,1927768,248530,0,0
6703,1,11690420,319 NEWTON EXCH,,1,1927765,248530,0,0
6703,1,11690421,319 NEWTON EXCH,,1,1927786,248530,0,0
6703,1,11690422,319 NEWTON EXCH,,1,1927771,248530,0,0
6703,1,11690423,319 NEWTON EXCH,,1,1927775,248530,0,0
6703,1,11690425,319 NEWTON EXCH,,1,1927775,248528,0,0
6703,1,11690426,319 NEWTON EXCH,,1,1927770,248528,0,0
6703,1,11690427,319 NEWTON EXCH,,1,1927764,248530,0,0
6703,1,11690428,319 NEWTON EXCH,,1,1927766,248530,0,0
6703,1,11690429,319 NEWTON EXCH,,1,1927765,248530,0,0
6703,1,11690430,319 NEWTON EXCH,,1,1927764,248530,0,0
6703,1,11690431,319 NEWTON EXCH,,1,1927763,248530,0,0
6703,1,11690432,319 NEWTON EXCH,,1,1927772,248530,0,0
6703,1,11690433,319 NEWTON EXCH,,1,1927783,248530,0,0
6703,1,11690434,319 SCOTTSDALE,,1,1927767,249035,0,0
6703,1,11690435,319 SCOTTSDALE,,1,1927766,249035,0,0
6703,1,11690436,319 SCOTTSDALE,,1,1927774,249035,0,0
6703,1,11690437,319 SCOTTSDALE,,1,1922529,249035,0,0
6703,1,11690438,319 SCOTTSDALE,,1,1922531,249035,0,0
6703,1,11690439,319 SCOTTSDALE,,1,1927773,249035,0,0
6703,1,11690440,319 SCOTTSDALE,,1,1927785,249035,0,0
6703,1,11690441,319 SCOTTSDALE,,1,1927767,249035,0,0
6703,1,11690442,319 SCOTTSDALE,,1,1927766,249035,0,0
6703,1,11690443,319 SCOTTSDALE,,1,1927774,249035,0,0
6703,1,11690444,319 SCOTTSDALE,,1,1927781,249035,0,0
6703,1,11690445,319 SCOTTSDALE,,1,1927782,249035,0,0
6703,1,11690446,319 SCOTTSDALE,,1,1927773,249035,0,0
6703,1,11690447,319 SCOTTSDALE,,1,1927785,249035,0,0
6703,1,11690448,319 SCOTTSDALE,,1,1927767,249035,0,0
6703,1,11690449,319 SCOTTSDALE,,1,1927766,249035,0,0
6703,1,11690450,319 SCOTTSDALE,,1,1927774,249035,0,0
6703,1,11690451,319 SCOTTSDALE,,1,1927781,249035,0,0
6703,1,11690452,319 SCOTTSDALE,,1,1927782,249035,0,0
6703,1,11690453,319 SCOTTSDALE,,1,1927779,249035,0,0
6703,1,11690454,319 SCOTTSDALE,,1,1927764,249035,0,0
6703,1,11690455,319 SCOTTSDALE,,1,1927763,249035,0,0
6703,1,11690456,319 SCOTTSDALE,,1,1927768,249035,0,0
6703,1,11690457,319 SCOTTSDALE,,1,1927772,249035,0,0
6703,1,11690458,319 SCOTTSDALE,,1,1927784,249035,0,0
6703,1,11690459,319 SCOTTSDALE,,1,1927771,249035,0,0
6703,1,11690460,319 SCOTTSDALE,,1,1927786,249035,0,0
6703,1,11690461,319 SCOTTSDALE,,1,1927783,249035,0,0
6703,1,11690462,319 SCOTTSDALE,,1,1927770,249035,0,0
6703,1,11690463,319 SCOTTSDALE,,1,1927765,249035,0,0
6703,1,11690464,319 SCOTTSDALE,,1,1927773,249035,0,0
6703,1,11690465,319 NEWTON EXCH,,1,1927778,248528,0,0
6703,1,11690466,319 SCOTTSDALE,,1,1927787,249035,0,0
6703,1,11690467,319 SCOTTSDALE,,1,1927789,249035,0,0
6703,1,11690468,319 SCOTTSDALE,,1,1927778,249035,0,0
6703,1,11690469,319 SCOTTSDALE,,1,1927780,249035,0,0
6703,1,11690470,319 SCOTTSDALE,,1,1927776,249035,0,0
6703,1,11690471,319 SCOTTSDALE,,1,1927777,249035,0,0
6703,1,11690472,319 SCOTTSDALE,,1,1927769,249035,0,0
6703,1,11690473,319 SCOTTSDALE,,1,1927788,249035,0,0
6703,1,11690474,319 SCOTTSDALE,,1,1927790,249035,0,0
6703,1,11690475,319 SCOTTSDALE,,1,1927787,249035,0,0
6703,1,11690476,319 SCOTTSDALE,,1,1927789,249035,0,0
6703,1,11690477,319 SCOTTSDALE,,1,1927778,249035,0,0
6703,1,11690478,319 SCOTTSDALE,,1,1927780,249035,0,0
6703,1,11690479,319 SCOTTSDALE,,1,1927776,249035,0,0
6703,1,11690480,319 SCOTTSDALE,,1,1927777,249035,0,0
6703,1,11690481,319 SCOTTSDALE,,1,1927769,249035,0,0
6703,1,11690482,319 SCOTTSDALE,,1,1927788,249035,0,0
6703,1,11690483,319 SCOTTSDALE,,1,1927790,249035,0,0
6703,1,11690484,319 SCOTTSDALE,,1,1927787,249035,0,0
6703,1,11690485,319 SCOTTSDALE,,1,1922542,249035,0,0
6703,1,11690486,319 SCOTTSDALE,,1,1927778,249035,0,0
6703,1,11690487,319 SCOTTSDALE,,1,1927763,249035,0,0
6703,1,11690488,319 SCOTTSDALE,,1,1927768,249035,0,0
6703,1,11690489,319 SCOTTSDALE,,1,1927772,249035,0,0
6703,1,11690490,319 SCOTTSDALE,,1,1927767,249035,0,0
6703,1,11690491,319 SCOTTSDALE,,1,1927771,249035,0,0
6703,1,11690492,319 SCOTTSDALE,,1,1927787,249035,0,0
6703,1,11690493,319 SCOTTSDALE,,1,1922542,249035,0,0
6703,1,11690494,319 SCOTTSDALE,,1,1927778,249035,0,0
6703,1,11690495,319 SCOTTSDALE,,1,1927763,249035,0,0
6703,1,11690496,319 SCOTTSDALE,,1,1927768,249035,0,0
6703,1,11690497,319 SCOTTSDALE,,1,1927772,249035,0,0
6703,1,11690498,319 SCOTTSDALE,,1,1927767,249035,0,0
6703,3,11690528,319 SCOTT RD STN,,0,1927805,248526,0,0
6703,3,11690529,319 SCOTT RD STN,,0,1927801,248526,0,0
6703,3,11690530,319 SCOTT RD STN,,0,1927802,248526,0,0
6703,3,11690531,319 SCOTT RD STN,,0,1927808,248526,0,0
6703,3,11690532,319 SCOTT RD STN,,0,1927804,248526,0,0
6703,3,11690533,319 SCOTT RD STN,,0,1927805,248526,0,0
6703,3,11690534,319 SCOTT RD STN,,0,1927802,248526,0,0
6703,3,11690535,319 SCOTT RD STN,,0,1927801,248526,0,0
6703,3,11690536,319 SCOTT RD STN,,0,1927806,248526,0,0
6703,3,11690537,319 SCOTT RD STN,,0,1927807,248526,0,0
6703,3,11690538,319 SCOTT RD STN,,0,1927801,248526,0,0
6703,3,11690539,319 SCOTT RD STN,,0,1927807,248526,0,0
6703,3,11690540,319 SCOTT RD STN,,0,1927807,248526,0,0
6703,3,11690541,319 SCOTT RD STN,,0,1927806,248526,0,0
6703,3,11690542,319 SCOTT RD STN,,0,1927807,248526,0,0
6703,3,11690543,319 SCOTT RD STN,,0,1927808,248526,0,0
6703,3,11690544,319 SCOTT RD STN,,0,1927804,248526,0,0
6703,3,11690545,319 SCOTT RD STN,,0,1927801,248526,0,0
6703,3,11690546,319 SCOTT RD STN,,0,1927802,248526,0,0
6703,3,11690547,319 SCOTT RD STN,,0,1927805,248526,0,0
6703,3,11690548,319 SCOTT RD STN,,0,1927800,248526,0,0
6703,3,11690549,319 SCOTT RD STN,,0,1927806,248526,0,0
6703,3,11690550,319 SCOTT RD STN,,0,1927805,248526,0,0
6703,3,11690551,319 SCOTT RD STN,,0,1927800,248526,0,0
6703,3,11690552,319 SCOTT RD STN,,0,1927807,248526,0,0
6703,3,11690553,319 SCOTT RD STN,,0,1927805,248526,0,0
6703,3,11690554,319 SCOTT RD STN,,0,1927800,248526,0,0
6703,3,11690555,319 SCOTT RD STN,,0,1927808,248526,0,0
6703,3,11690556,319 SCOTT RD STN,,0,1927807,248526,0,0
6703,3,11690557,319 SCOTT RD STN,,0,1927804,248526,0,0
6703,3,11690558,319 SCOTT RD STN,,0,1927805,248526,0,0
6703,3,11690559,319 SCOTT RD STN,,0,1927800,248526,0,0
6703,3,11690560,319 SCOTT RD STN,,0,1927803,248526,0,0
6703,3,11690561,319 SCOTT RD STN,,0,1927807,248526,0,0
6703,3,11690562,319 SCOTT RD STN,,0,1927808,248526,0,0
6703,3,11690563,319 SCOTT RD STN,,0,1927804,248526,0,0
6703,3,11690564,319 SCOTT RD STN,,0,1927805,248526,0,0
6703,3,11690565,319 SCOTT RD STN,,0,1927803,248526,0,0
6703,3,11690566,319 SCOTT RD STN,,0,1927807,248526,0,0
6703,3,11690567,319 SCOTT RD STN,,0,1927804,248526,0,0
6703,3,11690568,319 SCOTT RD STN,,0,1927806,248526,0,0
6703,3,11690569,319 SCOTT RD STN,,0,1927800,248526,0,0
6703,3,11690570,319 SCOTT RD STN,,0,1927807,248526,0,0
6703,3,11690571,319 SCOTT RD STN,,0,1927805,248526,0,0
6703,3,11690572,319 SCOTT RD STN,,0,1927802,248526,0,0
6703,3,11690573,319 SCOTT RD STN,,0,1927804,248526,0,0
6703,3,11690574,319 SCOTT RD STN,,0,1927808,248526,0,0
6703,3,11690575,319 SCOTT RD STN,,0,1927803,248526,0,0
6703,3,11690576,319 SCOTT RD STN,,0,1927804,248526,0,0
6703,3,11690577,319 SCOTT RD STN,,0,1927806,248526,0,0
6703,3,11690578,319 SCOTT RD STN,,0,1927805,248526,0,0
6703,3,11690579,319 SCOTT RD STN,,0,1927800,248526,0,0
6703,3,11690580,319 SCOTT RD STN,,0,1927801,248526,0,0
6703,3,11690581,319 SCOTT RD STN,,0,1927808,248526,0,0
6703,3,11690582,319 SCOTT RD STN,,0,1927802,248526,0,0
6703,3,11690583,319 SCOTT RD STN,,0,1927804,248526,0,0
6703,3,11690584,319 SCOTT RD STN,,0,1927800,248526,0,0
6703,3,11690585,319 SCOTT RD STN,,0,1927801,248526,0,0
6703,3,11690586,319 SCOTT RD STN,,0,1927808,248526,0,0
6703,3,11690587,319 SCOTT RD STN,,0,1927803,248526,0,0
6703,3,11690588,319 SCOTT RD STN,,0,1927804,248526,0,0
6703,3,11690589,319 SCOTT RD STN,,0,1927806,248526,0,0
6703,3,11690590,319 SCOTT RD STN,,0,1927805,248526,0,0
6703,3,11690591,319 SCOTT RD STN,,0,1927800,248526,0,0
6703,3,11690592,319 SCOTT RD STN,,0,1927800,248526,0,0
6703,3,11690593,319 SCOTT RD STN,,0,1927803,248526,0,0
6703,3,11690594,319 SCOTT RD STN,,0,1927802,248526,0,0
6703,3,11690595,319 SCOTT RD STN,,0,1927804,248526,0,0
6703,3,11690596,319 SCOTT RD STN,,0,1927805,248526,0,0
6703,3,11690597,319 SCOTT RD STN,,0,1927800,248526,0,0
6703,3,11690598,319 SCOTT RD STN,,0,1927808,248526,0,0
6703,3,11690599,319 SCOTT RD STN,,0,1927808,248526,0,0
6703,3,11690600,319 SCOTT RD STN,,0,1927803,248526,0,0
6703,3,11690601,319 SCOTT RD STN,,0,1927804,248526,0,0
6703,3,11690602,319 SCOTT RD STN,,0,1927806,248526,0,0
6703,3,11690603,319 SCOTT RD STN,,0,1927800,248526,0,0
6703,3,11690604,319 SCOTT RD STN,,0,1927801,248526,0,0
6703,3,11690605,319 SCOTT RD STN,,0,1927803,248526,0,0
6703,3,11690606,319 SCOTT RD STN,,0,1927802,248526,0,0
6703,3,11690607,319 SCOTT RD STN,,0,1927804,248526,0,0
6703,3,11690608,319 SCOTT RD STN,,0,1927801,248526,0,0
6703,3,11690609,319 SCOTT RD STN,,0,1927802,248526,0,0
6703,3,11690610,319 SCOTT RD STN,,0,1927808,248526,0,0
6703,3,11690611,319 SCOTT RD STN,,0,1927808,248526,0,0
6703,3,11690612,319 SCOTT RD STN,,0,1927803,248526,0,0
6703,3,11690613,319 SCOTT RD STN,,0,1927808,248526,0,0
6703,3,11690614,319 SCOTT RD STN,,0,1927800,248526,0,0
6703,3,11690615,319 SCOTT RD STN,,0,1927802,248526,0,0
6703,3,11690616,319 SCOTT RD STN,,0,1927805,248526,0,0
6703,3,11690617,319 SCOTT RD STN,,0,1927803,248526,0,0
6703,3,11690618,319 SCOTT RD STN,,0,1927804,248526,0,0
6703,3,11690619,319 SCOTT RD STN,,0,1927801,248526,0,0
6703,3,11690620,319 SCOTT RD STN,,0,1927802,248526,0,0
6703,3,11690621,319 SCOTT RD STN,,0,1927803,248526,0,0
6703,3,11690622,319 SCOTT RD STN,,0,1927805,248526,0,0
6703,3,11690623,319 SCOTT RD STN,,0,1927808,248526,0,0
6703,3,11690624,319 SCOTT RD STN,,0,1927802,248526,0,0
6703,3,11690625,319 NEWTON EXCH,,1,1927808,248530,0,0
6703,3,11690626,319 NEWTON EXCH,,1,1927802,248530,0,0
6703,3,11690627,319 NEWTON EXCH,,1,1927805,248530,0,0
6703,3,11690628,319 NEWTON EXCH,,1,1927808,248530,0,0
6703,3,11690629,319 NEWTON EXCH,,1,1927804,248528,0,0
6703,3,11690630,319 NEWTON EXCH,,1,1927801,248528,0,0
6703,3,11690631,319 NEWTON EXCH,,1,1927802,248528,0,0
6703,3,11690632,319 NEWTON EXCH,,1,1927805,248528,0,0
6703,3,11690633,319 NEWTON EXCH,,1,1927808,248528,0,0
6703,3,11690634,319 NEWTON EXCH,,1,1927802,248528,0,0
6703,3,11690635,319 NEWTON EXCH,,1,1927802,248528,0,0
6703,3,11690636,319 NEWTON EXCH,,1,1927806,248530,0,0
6703,3,11690637,319 NEWTON EXCH,,1,1927807,248530,0,0
6703,3,11690638,319 NEWTON EXCH,,1,1927804,248530,0,0
6703,3,11690639,319 NEWTON EXCH,,1,1927805,248530,0,0
6703,3,11690640,319 NEWTON EXCH,,1,1927800,248530,0,0
6703,3,11690641,319 NEWTON EXCH,,1,1927801,248530,0,0
6703,3,11690642,319 NEWTON EXCH,,1,1927807,248530,0,0
6703,3,11690643,319 NEWTON EXCH,,1,1927808,248530,0,0
6703,3,11690644,319 NEWTON EXCH,,1,1927805,248530,0,0
6703,3,11690645,319 NEWTON EXCH,,1,1927802,248530,0,0
6703,3,11690646,319 NEWTON EXCH,,1,1927801,248530,0,0
6703,3,11690647,319 NEWTON EXCH,,1,1927802,248530,0,0
6703,3,11690648,319 NEWTON EXCH,,1,1927804,248530,0,0
6703,3,11690649,319 NEWTON EXCH,,1,1927805,248530,0,0
6703,3,11690650,319 NEWTON EXCH,,1,1927800,248530,0,0
6703,3,11690651,319 NEWTON EXCH,,1,1927808,248530,0,0
6703,3,11690652,319 NEWTON EXCH,,1,1927803,248530,0,0
6703,3,11690653,319 NEWTON EXCH,,1,1927804,248530,0,0
6703,3,11690654,319 NEWTON EXCH,,1,1927807,248530,0,0
6703,3,11690655,319 NEWTON EXCH,,1,1927800,248530,0,0
6703,3,11690656,319 NEWTON EXCH,,1,1927801,248530,0,0
6703,3,11690657,319 NEWTON EXCH,,1,1927803,248530,0,0
6703,3,11690658,319 NEWTON EXCH,,1,1927807,248530,0,0
6703,3,11690659,319 NEWTON EXCH,,1,1927804,248530,0,0
6703,3,11690660,319 NEWTON EXCH,,1,1927806,248530,0,0
6703,3,11690661,319 NEWTON EXCH,,1,1927800,248530,0,0
6703,3,11690662,319 NEWTON EXCH,,1,1927801,248530,0,0
6703,3,11690663,319 NEWTON EXCH,,1,1927803,248530,0,0
6703,3,11690664,319 NEWTON EXCH,,1,1927804,248530,0,0
6703,3,11690665,319 NEWTON EXCH,,1,1927808,248530,0,0
6703,3,11690666,319 NEWTON EXCH,,1,1927800,248530,0,0
6703,3,11690667,319 NEWTON EXCH,,1,1927800,248530,0,0
6703,3,11690668,319 NEWTON EXCH,,1,1927801,248530,0,0
6703,3,11690669,319 NEWTON EXCH,,1,1927803,248530,0,0
6703,3,11690670,319 NEWTON EXCH,,1,1927802,248528,0,0
6703,3,11690671,319 NEWTON EXCH,,1,1927806,248530,0,0
6703,3,11690672,319 NEWTON EXCH,,1,1927806,248528,0,0
6703,3,11690673,319 NEWTON EXCH,,1,1927800,248528,0,0
6703,3,11690674,319 NEWTON EXCH,,1,1927801,248528,0,0
6703,3,11690675,319 NEWTON EXCH,,1,1927803,248528,0,0
6703,3,11690676,319 NEWTON EXCH,,1,1927802,248528,0,0
6703,3,11690677,319 NEWTON EXCH,,1,1927805,248528,0,0
6703,3,11690678,319 NEWTON EXCH,,1,1927808,248528,0,0
6703,3,11690679,319 NEWTON EXCH,,1,1927804,248528,0,0
6703,3,11690680,319 NEWTON EXCH,,1,1927801,248528,0,0
6703,3,11690681,319 NEWTON EXCH,,1,1927804,248528,0,0
6703,3,11690682,319 NEWTON EXCH,,1,1927801,248528,0,0
6703,3,11690683,319 NEWTON EXCH,,1,1927803,248530,0,0
6703,3,11690684,319 NEWTON EXCH,,1,1927803,248530,0,0
6703,3,11690685,319 NEWTON EXCH,,1,1927805,248530,0,0
6703,3,11690686,319 NEWTON EXCH,,1,1927800,248530,0,0
6703,3,11690687,319 NEWTON EXCH,,1,1927804,248530,0,0
6703,3,11690688,319 NEWTON EXCH,,1,1927802,248530,0,0
6703,3,11690689,319 NEWTON EXCH,,1,1927805,248530,0,0
6703,3,11690690,319 NEWTON EXCH,,1,1927804,248530,0,0
6703,3,11690691,319 NEWTON EXCH,,1,1927805,248530,0,0
