service_id,date,exception_type
4901,20200618,1
4901,20200619,1
4902,20200516,1
4902,20200523,1
4902,20200530,1
4902,20200606,1
4902,20200613,1
4902,20200620,1
4903,20200517,1
4903,20200518,1
4903,20200524,1
4903,20200531,1
4903,20200607,1
4903,20200614,1
4903,20200621,1
59101,20200406,1
59101,20200407,1
59101,20200408,1
59101,20200409,1
59101,20200413,1
59101,20200414,1
59101,20200415,1
59101,20200416,1
59101,20200417,1
59101,20200420,1
59101,20200421,1
59101,20200422,1
59101,20200423,1
59101,20200424,1
59101,20200427,1
59101,20200428,1
59101,20200429,1
59101,20200430,1
59101,20200501,1
59101,20200504,1
59101,20200505,1
59101,20200506,1
59101,20200507,1
59101,20200508,1
59101,20200511,1
59101,20200512,1
59101,20200513,1
59101,20200514,1
59101,20200515,1
59101,20200519,1
59101,20200520,1
59101,20200521,1
59101,20200522,1
59101,20200525,1
59101,20200526,1
59101,20200527,1
59101,20200528,1
59101,20200529,1
59101,20200601,1
59101,20200602,1
59101,20200603,1
59101,20200604,1
59101,20200605,1
59101,20200608,1
59101,20200609,1
59101,20200610,1
59101,20200611,1
59101,20200612,1
59101,20200615,1
59101,20200616,1
59101,20200617,1
59101,20200618,1
59101,20200619,1
62201,20200406,1
62201,20200407,1
62201,20200408,1
62201,20200409,1
62201,20200413,1
62201,20200414,1
62201,20200415,1
62201,20200416,1
62201,20200417,1
62201,20200420,1
62201,20200421,1
62201,20200422,1
62201,20200423,1
62201,20200424,1
62201,20200427,1
62201,20200428,1
62201,20200429,1
62201,20200430,1
62201,20200501,1
62201,20200504,1
62201,20200505,1
62201,20200506,1
62201,20200507,1
62201,20200508,1
62201,20200511,1
62201,20200512,1
62201,20200513,1
62201,20200514,1
62201,20200515,1
62201,20200519,1
62201,20200520,1
62201,20200521,1
62201,20200522,1
62201,20200525,1
62201,20200526,1
62201,20200527,1
62201,20200528,1
62201,20200529,1
62201,20200601,1
62201,20200602,1
62201,20200603,1
62201,20200604,1
62201,20200605,1
62201,20200608,1
62201,20200609,1
62201,20200610,1
62201,20200611,1
62201,20200612,1
62201,20200615,1
62201,20200616,1
62201,20200617,1
62201,20200618,1
62201,20200619,1
75401,20200406,1
75401,20200407,1
75401,20200408,1
75401,20200409,1
75401,20200413,1
75401,20200414,1
75401,20200415,1
75401,20200416,1
75401,20200417,1
75401,20200420,1
75401,20200421,1
75401,20200422,1
75401,20200423,1
75401,20200424,1
75401,20200427,1
75401,20200428,1
75401,20200429,1
75401,20200430,1
75401,20200501,1
75401,20200504,1
75401,20200505,1
75401,20200506,1
75401,20200507,1
75401,20200508,1
75401,20200511,1
75401,20200512,1
75401,20200513,1
75401,20200514,1
75401,20200515,1
75401,20200519,1
75401,20200520,1
75401,20200521,1
75401,20200522,1
75401,20200525,1
75401,20200526,1
75401,20200527,1
75401,20200528,1
75401,20200529,1
75401,20200601,1
75401,20200602,1
75401,20200603,1
75401,20200604,1
75401,20200605,1
75401,20200608,1
75401,20200609,1
75401,20200610,1
75401,20200611,1
75401,20200612,1
75401,20200615,1
75401,20200616,1
75401,20200617,1
75401,20200618,1
75401,20200619,1
801,20200406,1
801,20200407,1
801,20200408,1
801,20200409,1
801,20200413,1
801,20200414,1
801,20200415,1
801,20200416,1
801,20200417,1
801,20200420,1
801,20200421,1
801,20200422,1
801,20200423,1
801,20200424,1
801,20200427,1
801,20200428,1
801,20200429,1
801,20200430,1
801,20200501,1
801,20200504,1
801,20200505,1
801,20200506,1
801,20200507,1
801,20200508,1
801,20200511,1
801,20200512,1
801,20200513,1
801,20200514,1
801,20200515,1
801,20200519,1
801,20200520,1
801,20200521,1
801,20200522,1
801,20200525,1
801,20200526,1
801,20200527,1
801,20200528,1
801,20200529,1
801,20200601,1
801,20200602,1
801,20200603,1
801,20200604,1
801,20200605,1
801,20200608,1
801,20200609,1
801,20200610,1
801,20200611,1
801,20200612,1
801,20200615,1
801,20200616,1
801,20200617,1
801,20200618,1
801,20200619,1
