OBJECTID,Stop_Number,Stop_Name,Sub_Region,Municipality,Avg_Daily_Boardings__Monday_Friday,Avg_Daily_Boardings__Saturday,Avg_Daily_Boardings__Sunday_Holiday,Avg_Daily_Alightings__Monday_Friday,Avg_Daily_Alightings__Saturday,Avg_Daily_Alightings__Sunday_Holiday,Stop_Longitude,Stop_Latitude,Route_Connections,Data_Time_Period,Data_Suppression_Note,Line_Number2,x,y
11938,57315,NB 272 ST AT 28 AVE,South of Fraser,Langley - Township,23,31,25,6,0,0,-122.470581,49.053448,503,Fall 2018,Some boarding or alighting values for this stop are below 5 and have been suppressed to reinforce the confidential nature of the data. All values that do not meet the threshold (5) are shown as zero.,503,-13633364.391525758,6283936.191451375
11939,57316,WB 29 AVE AT 272 ST,South of Fraser,Langley - Township,28,11,15,0,0,0,-122.47131,49.055667,503,Fall 2018,Some boarding or alighting values for this stop are below 5 and have been suppressed to reinforce the confidential nature of the data. All values that do not meet the threshold (5) are shown as zero.,503,-13633445.587286968,6284313.218877489
11940,57317,WB 29 AVE AT 270A ST,South of Fraser,Langley - Township,0,18,10,0,0,0,-122.475866,49.055669,503,Fall 2018,Some boarding or alighting values for this stop are below 5 and have been suppressed to reinforce the confidential nature of the data. All values that do not meet the threshold (5) are shown as zero.,503,-13633952.720352905,6284313.550244294
11941,57318,WB 29 AVE AT 268A ST,South of Fraser,Langley - Township,36,24,16,16,12,0,-122.481482,49.055667,503,Fall 2018,Some boarding or alighting values for this stop are below 5 and have been suppressed to reinforce the confidential nature of the data. All values that do not meet the threshold (5) are shown as zero.,503,-13634577.940809866,6284313.11809551
11942,57319,WB 29 AVE AT 264A ST,South of Fraser,Langley - Township,13,11,7,0,0,0,-122.491484,49.055494,503,Fall 2018,Some boarding or alighting values for this stop are below 5 and have been suppressed to reinforce the confidential nature of the data. All values that do not meet the threshold (5) are shown as zero.,503,-13635691.369089654,6284283.777854861
11943,57344,NB 216 ST AT 5300 BLOCK,South of Fraser,Langley - Township,7,0,0,0,0,0,-122.624484,49.100746,503,Fall 2018,Some boarding or alighting values for this stop are below 5 and have been suppressed to reinforce the confidential nature of the data. All values that do not meet the threshold (5) are shown as zero.,503,-13650496.806385081,6291974.182729179
11944,57347,WB 56 AVE AT 210A ST,South of Fraser,Langley - Township,7,0,0,8,0,0,-122.64122,49.104665,503,Fall 2018,Some boarding or alighting values for this stop are below 5 and have been suppressed to reinforce the confidential nature of the data. All values that do not meet the threshold (5) are shown as zero.,503,-13652359.865184313,6292640.482458603
11945,57348,WB 56 AVE AT 208 ST,South of Fraser,Langley - City,11,14,0,10,14,0,-122.646304,49.104743,503,Fall 2018,Some boarding or alighting values for this stop are below 5 and have been suppressed to reinforce the confidential nature of the data. All values that do not meet the threshold (5) are shown as zero.,503,-13652925.768929118,6292653.752681009
11946,58164,KING GEORGE STN BAY 3,South of Fraser,Surrey,79,64,51,0,7,0,-122.842052,49.181723,345; 394; 395; 502; 503,Fall 2018,Some boarding or alighting values for this stop are below 5 and have been suppressed to reinforce the confidential nature of the data. All values that do not meet the threshold (5) are shown as zero.,503,-13674716.399928352,6305753.423309012
11947,58508,WB LOGAN AVE AT 56 AVE,South of Fraser,Langley - City,0,11,6,11,13,0,-122.651401,49.105193,503,Fall 2018,Some boarding or alighting values for this stop are below 5 and have been suppressed to reinforce the confidential nature of the data. All values that do not meet the threshold (5) are shown as zero.,503,-13653493.23698298,6292730.369871804
11948,58517,NB 216 ST AT FRASER HWY,South of Fraser,Langley - Township,50,50,24,9,6,7,-122.624426,49.096719,503; 560,Fall 2018,,503,-13650490.338325243,6291289.58609335
