OBJECTID,Stop_Number,Stop_Name,Sub_Region,Municipality,Avg_Daily_Boardings__Monday_Friday,Avg_Daily_Boardings__Saturday,Avg_Daily_Boardings__Sunday_Holiday,Avg_Daily_Alightings__Monday_Friday,Avg_Daily_Alightings__Saturday,Avg_Daily_Alightings__Sunday_Holiday,Stop_Longitude,Stop_Latitude,Route_Connections,Data_Time_Period,Data_Suppression_Note,Line_Number2,x,y
44,50116,WB W 16 AVE AT BALACLAVA ST,Vancouver/UBC,Vancouver,0,0,0,34,28,18,-123.17458,49.257904,002; 033,Fall 2018,Some boarding or alighting values for this stop are below 5 and have been suppressed to reinforce the confidential nature of the data. All values that do not meet the threshold (5) are shown as zero.,002,-13711733.295258803,6318737.062243129
45,50118,SB MACDONALD ST AT W 19 AVE,Vancouver/UBC,Vancouver,17,10,8,54,47,19,-123.167862,49.255207,002; N22,Fall 2018,,002,-13710985.39649777,6318277.031173725
46,50119,SB MACDONALD ST AT W 21 AVE,Vancouver/UBC,Vancouver,9,10,17,49,34,23,-123.16787,49.253375,002; N22,Fall 2018,,002,-13710986.329638353,6317964.647140532
47,50120,SB MACDONALD ST AT W 23 AVE,Vancouver/UBC,Vancouver,9,0,6,50,30,20,-123.167891,49.251598,002; N22,Fall 2018,Some boarding or alighting values for this stop are below 5 and have been suppressed to reinforce the confidential nature of the data. All values that do not meet the threshold (5) are shown as zero.,002,-13710988.608035652,6317661.584915263
48,50121,SB MACDONALD ST AT ALAMEIN AVE,Vancouver/UBC,Vancouver,13,10,8,50,24,19,-123.167913,49.249858,002; N22,Fall 2018,,002,-13710991.111196404,6317364.77643381
49,50122,WB W KING EDWARD AVE AT MACDONALD ST,Vancouver/UBC,Vancouver,31,16,26,124,87,66,-123.168633,49.248641,002; 025; N22,Fall 2018,,002,-13711071.179783972,6317157.295345643
50,50123,WB W KING EDWARD AVE AT PUGET DR,Vancouver/UBC,Vancouver,0,6,0,13,13,7,-123.170432,49.249627,002; 025; N22,Fall 2018,Some boarding or alighting values for this stop are below 5 and have been suppressed to reinforce the confidential nature of the data. All values that do not meet the threshold (5) are shown as zero.,002,-13711271.480336439,6317325.504227291
51,50124,SB QUESNEL DR AT W KING EDWARD AVE,Vancouver/UBC,Vancouver,17,7,12,46,41,30,-123.171914,49.249603,002; N22,Fall 2018,,002,-13711436.511692036,6317321.397383905
52,50125,SB QUESNEL DR AT W 27 AVE,Vancouver/UBC,Vancouver,0,0,0,15,21,7,-123.17076,49.248207,002; N22,Fall 2018,Some boarding or alighting values for this stop are below 5 and have been suppressed to reinforce the confidential nature of the data. All values that do not meet the threshold (5) are shown as zero.,002,-13711308.002094043,6317083.285327658
53,50126,SB MACKENZIE ST AT W 29 AVE,Vancouver/UBC,Vancouver,13,12,8,52,38,21,-123.170308,49.245848,002; N22,Fall 2018,,002,-13711257.693772215,6316681.042733503
54,50127,SB MACKENZIE ST AT W 31 AVE,Vancouver/UBC,Vancouver,22,7,12,75,56,33,-123.170323,49.243935,002; N22,Fall 2018,,002,-13711259.354823617,6316354.802335138
55,50128,SB MACKENZIE ST AT W 33 AVE,Vancouver/UBC,Vancouver,32,21,19,90,75,53,-123.170345,49.241997,002; N22,Fall 2018,,002,-13711261.847466389,6316024.362387944
56,50129,SB MACKENZIE ST AT W 35 AVE,Vancouver/UBC,Vancouver,19,6,16,63,46,31,-123.170352,49.240126,002; N22,Fall 2018,,002,-13711262.594683146,6315705.37766276
57,50130,SB MACKENZIE ST AT W 37 AVE,Vancouver/UBC,Vancouver,6,0,9,39,37,23,-123.170377,49.238254,002; N22,Fall 2018,Some boarding or alighting values for this stop are below 5 and have been suppressed to reinforce the confidential nature of the data. All values that do not meet the threshold (5) are shown as zero.,002,-13711265.37222394,6315386.182551716
