OBJECTID,Stop_Number,Stop_Name,Sub_Region,Municipality,Avg_Daily_Boardings__Monday_Friday,Avg_Daily_Boardings__Saturday,Avg_Daily_Boardings__Sunday_Holiday,Avg_Daily_Alightings__Monday_Friday,Avg_Daily_Alightings__Saturday,Avg_Daily_Alightings__Sunday_Holiday,Stop_Longitude,Stop_Latitude,Route_Connections,Data_Time_Period,Data_Suppression_Note,Line_Number2,x,y
11670,56620,WB LANSDOWNE RD AT KWANTLEN ST,Richmond,Richmond,55,7,7,183,62,43,-123.127108,49.173988,405; 416; 430,Fall 2018,,430,-13706448.635068147,6304436.234845539
11671,56946,EB BRIDGEPORT RD AT MCLENNAN AVE,Richmond,Richmond,61,42,39,91,83,48,-123.10754,49.191929,407; 430,Fall 2018,,430,-13704270.408035614,6307491.581850196
11672,56947,EB BRIDGEPORT RD AT SHELL RD,Richmond,Richmond,94,40,24,96,45,37,-123.101252,49.191933,407; 430,Fall 2018,,430,-13703570.415559126,6307492.269729486
11673,56950,EB BRIDGEPORT RD AT NO. 5 RD,Richmond,Richmond,131,76,41,117,63,55,-123.090821,49.191861,407; 430,Fall 2018,,430,-13702409.267959224,6307480.153369881
11674,56960,WB BRIDGEPORT RD AT SWEDEN WAY,Richmond,Richmond,145,129,111,332,215,169,-123.084533,49.192032,407; 430,Fall 2018,,430,-13701709.292680904,6307509.243902342
11675,56969,WB BRIDGEPORT RD AT NO. 5 RD,Richmond,Richmond,106,70,47,164,86,70,-123.092038,49.192041,407; 430,Fall 2018,,430,-13702544.65242807,6307510.675347428
11676,56972,WB BRIDGEPORT RD AT SHELL RD,Richmond,Richmond,99,64,50,126,45,43,-123.103179,49.192076,407; 430,Fall 2018,,430,-13703784.92758056,6307516.776854978
11677,56973,WB BRIDGEPORT RD AT MCLENNAN AVE,Richmond,Richmond,116,79,62,65,42,38,-123.108364,49.192065,407; 430,Fall 2018,,430,-13704362.16018366,6307514.8998979805
11678,56975,WB BRIDGEPORT RD AT NO. 4 RD,Richmond,Richmond,94,67,59,37,27,29,-123.116031,49.192059,407; 430,Fall 2018,,430,-13705215.628009794,6307513.713845682
11679,56976,WB BRIDGEPORT RD AT GAGE RD,Richmond,Richmond,19,18,10,86,76,50,-123.120971,49.192105,407; 430,Fall 2018,,430,-13705765.561148213,6307521.68064323
