,stop_id,name,region,manicipality,avg_daily_boarding_mf,avg_daily_boarding_sat,avg_daily_boarding_sun,longitude,latitude
19825,54469.0,WB W KEITH RD AT FORBES AVE,North Shore,North Vancouver - City,9,9,0,-123.08523500000001,49.320182
19826,54470.0,WB W KEITH RD AT DELBRUCK AVE,North Shore,North Vancouver - City,10,0,0,-123.08856100000001,49.320206
19827,54592.0,EB MARINE DR AT 25 ST,North Shore,West Vancouver,97,50,64,-123.18203799999999,49.334732
19828,54593.0,EB MARINE DR AT 24 ST,North Shore,West Vancouver,37,21,19,-123.178898,49.333977000000004
19829,54594.0,EB MARINE DR AT 23 ST,North Shore,West Vancouver,9,6,0,-123.175124,49.333095
19830,54595.0,EB MARINE DR AT 22 ST,North Shore,West Vancouver,65,32,22,-123.17067800000001,49.330566999999995
19831,54596.0,EB MARINE DR AT 21 ST,North Shore,West Vancouver,56,21,28,-123.16774,49.329656
19832,54597.0,EB MARINE DR AT 20 ST,North Shore,West Vancouver,18,10,6,-123.16666599999999,49.329332
19833,54598.0,EB MARINE DR AT 19 ST,North Shore,West Vancouver,31,15,15,-123.16393400000001,49.328565999999995
19834,54599.0,EB MARINE DR AT 18 ST,North Shore,West Vancouver,24,14,7,-123.161817,49.328527
19835,54600.0,EB MARINE DR AT 17 ST,North Shore,West Vancouver,94,36,27,-123.159782,49.328534000000005
19836,54601.0,EB MARINE DR AT 15 ST,North Shore,West Vancouver,79,58,39,-123.156374,49.328163
19837,54602.0,EB MARINE DR AT 14 ST,North Shore,West Vancouver,86,36,40,-123.15397,49.327769
19838,54603.0,EB MARINE DR AT 11 ST,North Shore,West Vancouver,21,14,13,-123.146731,49.326634999999996
19839,54604.0,EB MARINE DR AT MAIN ST,North Shore,West Vancouver,33,39,33,-123.14263799999999,49.326632000000004
19840,54607.0,WB MARINE DR AT CAPILANO RIVER,North Shore,West Vancouver,11,17,7,-123.130004,49.326544
19841,54609.0,WB MARINE DR AT MAIN ST,North Shore,West Vancouver,7,7,0,-123.14362,49.32689
19842,54610.0,WB MARINE DR AT 11 ST,North Shore,West Vancouver,5,0,0,-123.147479,49.326988
19843,54611.0,WB MARINE DR AT 13 ST,North Shore,West Vancouver,0,0,0,-123.15198899999999,49.327721000000004
19844,54612.0,WB MARINE DR AT 15 ST,North Shore,West Vancouver,12,10,9,-123.15713600000001,49.328461
19845,54613.0,WB MARINE DR AT 17 ST,North Shore,West Vancouver,20,14,10,-123.15987,49.328720000000004
19846,54614.0,WB MARINE DR AT 18 ST,North Shore,West Vancouver,0,7,0,-123.162646,49.32868
19847,54615.0,WB MARINE DR AT 19 ST,North Shore,West Vancouver,0,0,0,-123.16465500000001,49.328901
19848,54616.0,WB MARINE DR AT 20 ST,North Shore,West Vancouver,0,0,0,-123.16670800000001,49.329541
19849,54617.0,WB MARINE DR AT 21 ST,North Shore,West Vancouver,5,0,0,-123.16839499999999,49.330055
19850,54618.0,WB MARINE DR AT 22 ST,North Shore,West Vancouver,5,0,0,-123.17085,49.3308
19851,54620.0,WB MARINE DR AT 23 ST,North Shore,West Vancouver,0,0,0,-123.175257,49.333278
19852,54621.0,WB MARINE DR AT 24 ST,North Shore,West Vancouver,0,0,0,-123.179001,49.334201
19853,54778.0,WB E 15 ST AT E GRAND BLVD,North Shore,North Vancouver - City,33,16,22,-123.057142,49.321967
19854,54780.0,WB MARINE DR AT 14 ST,North Shore,West Vancouver,10,0,0,-123.15473200000001,49.328058
19855,58161.0,SB LILLOOET RD AT 1000 BLOCK,North Shore,North Vancouver - District,24,13,7,-123.02414499999999,49.31572
19856,59526.0,EB LYNN VALLEY AT MOUNTAIN HWY,North Shore,North Vancouver - District,90,21,11,-123.038743,49.336608
19857,61071.0,CAPILANO UNIVERSITY BAY 4,North Shore,North Vancouver - District,245,36,29,-123.018631,49.319390000000006
19858,61239.0,NB LILLOOET RD AT PURCELL WAY,North Shore,North Vancouver - District,0,0,0,-123.02389099999999,49.31787
19859,61269.0,NB MOUNTAIN HWY AT E 27 ST,North Shore,North Vancouver - District,25,17,13,-123.03781599999999,49.332733000000005
19860,61563.0,WB MARINE DR AT CAPILANO RD,North Shore,North Vancouver - District,39,34,22,-123.122926,49.324577000000005
19861,54441.0,WB MARINE DR AT PARK ROYAL NORTH-,North Shore,West Vancouver,64,62,43,-123.138897,49.327102000000004
19862,54442.0,EB MARINE DR AT 1000 BLOCK,North Shore,West Vancouver,11,0,0,-123.139026,49.326813
19863,54595.0,EB MARINE DR AT 22 ST,North Shore,West Vancouver,6,7,5,-123.17067800000001,49.330566999999995
19864,54596.0,EB MARINE DR AT 21 ST,North Shore,West Vancouver,0,0,0,-123.16774,49.329656
19865,54597.0,EB MARINE DR AT 20 ST,North Shore,West Vancouver,0,0,0,-123.16666599999999,49.329332
19866,54598.0,EB MARINE DR AT 19 ST,North Shore,West Vancouver,0,0,0,-123.16393400000001,49.328565999999995
19867,54599.0,EB MARINE DR AT 18 ST,North Shore,West Vancouver,0,0,0,-123.161817,49.328527
19868,54600.0,EB MARINE DR AT 17 ST,North Shore,West Vancouver,7,6,0,-123.159782,49.328534000000005
19869,54601.0,EB MARINE DR AT 15 ST,North Shore,West Vancouver,5,8,5,-123.156374,49.328163
19870,54602.0,EB MARINE DR AT 14 ST,North Shore,West Vancouver,0,0,0,-123.15397,49.327769
19871,54603.0,EB MARINE DR AT 11 ST,North Shore,West Vancouver,0,0,0,-123.146731,49.326634999999996
19872,54604.0,EB MARINE DR AT MAIN ST,North Shore,West Vancouver,0,0,0,-123.14263799999999,49.326632000000004
19873,54609.0,WB MARINE DR AT MAIN ST,North Shore,West Vancouver,9,10,11,-123.14362,49.32689
19874,54610.0,WB MARINE DR AT 11 ST,North Shore,West Vancouver,0,0,0,-123.147479,49.326988
19875,54611.0,WB MARINE DR AT 13 ST,North Shore,West Vancouver,0,0,0,-123.15198899999999,49.327721000000004
19876,54612.0,WB MARINE DR AT 15 ST,North Shore,West Vancouver,0,0,0,-123.15713600000001,49.328461
19877,54613.0,WB MARINE DR AT 17 ST,North Shore,West Vancouver,10,10,6,-123.15987,49.328720000000004
19878,54614.0,WB MARINE DR AT 18 ST,North Shore,West Vancouver,0,0,0,-123.162646,49.32868
19879,54615.0,WB MARINE DR AT 19 ST,North Shore,West Vancouver,0,0,0,-123.16465500000001,49.328901
19880,54616.0,WB MARINE DR AT 20 ST,North Shore,West Vancouver,0,0,0,-123.16670800000001,49.329541
19881,54617.0,WB MARINE DR AT 21 ST,North Shore,West Vancouver,0,0,0,-123.16839499999999,49.330055
19882,54618.0,WB MARINE DR AT 22 ST,North Shore,West Vancouver,0,0,0,-123.17085,49.3308
19883,54730.0,NB TAYLOR WAY AT KEITH RD,North Shore,West Vancouver,0,0,0,-123.13474199999999,49.331579
19884,54780.0,WB MARINE DR AT 14 ST,North Shore,West Vancouver,0,0,0,-123.15473200000001,49.328058
19885,60995.0,FLAGSTOP EB CHIPPENDALE RD AT WESTHIL,North Shore,West Vancouver,9,10,7,-123.163179,49.349419
19886,60998.0,FLAGSTOP NB 21 ST,North Shore,West Vancouver,0,0,0,-123.16797700000001,49.334773
19887,60999.0,FLAGSTOP NB ON 21 ST,North Shore,West Vancouver,0,0,0,-123.16795,49.340168
19888,61000.0,FLAGSTOP WB ON SKILIFT RD,North Shore,West Vancouver,9,7,0,-123.17208600000001,49.344317
19889,61001.0,FLAGSTOP NB ON FOLKESTONE WAY,North Shore,West Vancouver,17,8,9,-123.17740400000001,49.349092999999996
19890,61002.0,FLAGSTOP SB ON WESTHILL DR,North Shore,West Vancouver,0,0,0,-123.16761899999999,49.344757
19891,61003.0,FLAGSTOP SB 21 ST,North Shore,West Vancouver,0,0,0,-123.168067,49.339827
19892,61004.0,FLAGSTOP SB ON 21 ST,North Shore,West Vancouver,8,8,7,-123.168108,49.334345
19893,61260.0,FLAGSTOP AT SPURAWAY LODGE,North Shore,West Vancouver,10,13,0,-123.12048,49.332349
19894,61782.0,EB MARINE DR AT PARK ROYAL SOUTH-,North Shore,West Vancouver,30,21,18,-123.138645,49.326832
19895,54411.0,EB MARINE DR AT PARK ROYAL SOUTH--,North Shore,West Vancouver,578,559,454,-123.13825,49.326848999999996
19896,54441.0,WB MARINE DR AT PARK ROYAL NORTH-,North Shore,West Vancouver,211,205,161,-123.138897,49.327102000000004
19897,54556.0,HORSESHOE BAY FERRY TERMINAL,North Shore,West Vancouver,1436,1413,1619,-123.27283100000001,49.374190999999996
19898,54602.0,EB MARINE DR AT 14 ST,North Shore,West Vancouver,16,34,21,-123.15397,49.327769
19899,54780.0,WB MARINE DR AT 14 ST,North Shore,West Vancouver,26,26,14,-123.15473200000001,49.328058
19900,60276.0,SB 15 ST AT OTTAWA AVE,North Shore,West Vancouver,0,0,0,-123.156999,49.340163000000004
19901,60909.0,NB 15 ST AT OTTAWA AVE,North Shore,West Vancouver,6,0,0,-123.156826,49.340258
19902,61566.0,EB MARINE DR OFFRAMP AT LIONS GATE BR,North Shore,West Vancouver,12,9,0,-123.12953700000001,49.325824
19903,54411.0,EB MARINE DR AT PARK ROYAL SOUTH--,North Shore,West Vancouver,77,0,0,-123.13825,49.326848999999996
19904,54592.0,EB MARINE DR AT 25 ST,North Shore,West Vancouver,15,0,0,-123.18203799999999,49.334732
19905,54593.0,EB MARINE DR AT 24 ST,North Shore,West Vancouver,0,0,0,-123.178898,49.333977000000004
19906,54594.0,EB MARINE DR AT 23 ST,North Shore,West Vancouver,0,0,0,-123.175124,49.333095
19907,54595.0,EB MARINE DR AT 22 ST,North Shore,West Vancouver,7,0,0,-123.17067800000001,49.330566999999995
19908,54596.0,EB MARINE DR AT 21 ST,North Shore,West Vancouver,6,0,0,-123.16774,49.329656
19909,54597.0,EB MARINE DR AT 20 ST,North Shore,West Vancouver,0,0,0,-123.16666599999999,49.329332
19910,54598.0,EB MARINE DR AT 19 ST,North Shore,West Vancouver,0,0,0,-123.16393400000001,49.328565999999995
19911,54599.0,EB MARINE DR AT 18 ST,North Shore,West Vancouver,0,0,0,-123.161817,49.328527
19912,54600.0,EB MARINE DR AT 17 ST,North Shore,West Vancouver,19,0,0,-123.159782,49.328534000000005
19913,54601.0,EB MARINE DR AT 15 ST,North Shore,West Vancouver,13,0,0,-123.156374,49.328163
19914,54602.0,EB MARINE DR AT 14 ST,North Shore,West Vancouver,15,0,0,-123.15397,49.327769
19915,54603.0,EB MARINE DR AT 11 ST,North Shore,West Vancouver,16,0,0,-123.146731,49.326634999999996
19916,54604.0,EB MARINE DR AT MAIN ST,North Shore,West Vancouver,16,0,0,-123.14263799999999,49.326632000000004
19917,61566.0,EB MARINE DR OFFRAMP AT LIONS GATE BR,North Shore,West Vancouver,16,0,0,-123.12953700000001,49.325824
19918,54556.0,HORSESHOE BAY FERRY TERMINAL,North Shore,West Vancouver,6,0,0,-123.27283100000001,49.374190999999996
19919,54557.0,SB NELSON AVE AT BAY ST,North Shore,West Vancouver,0,0,0,-123.27689,49.37515
19920,54558.0,SB NELSON AVE AT 6400 BLOCK,North Shore,West Vancouver,0,0,0,-123.277801,49.372606
19921,54559.0,EB MARINE DR AT NELSON AVE,North Shore,West Vancouver,0,0,0,-123.27891000000001,49.37012
19922,54655.0,NB NELSON AVE AT CHATHAM ST,North Shore,West Vancouver,0,0,0,-123.27811499999999,49.371643
19923,54656.0,NB ROYAL AVE AT ARGYLE AVE,North Shore,West Vancouver,0,0,0,-123.276448,49.372015000000005
19924,54657.0,EB BRUCE ST AT ROYAL  AVE,North Shore,West Vancouver,0,0,0,-123.274588,49.3735
19925,54783.0,NB HWY 99 AT LIONS BAY,North Shore,Lions Bay,0,0,0,-123.236598,49.458168
19926,54784.0,SB HWY 99 AT KELVIN GROVE WAY,North Shore,Lions Bay,0,0,0,-123.23766699999999,49.452393
19927,54785.0,SB HWY 99 AT LAWRENCE WAY,North Shore,West Vancouver,0,0,0,-123.24276200000001,49.403085
19928,54786.0,SB HWY 99 OFFRAMP AT ANSELL PL,North Shore,West Vancouver,0,0,0,-123.24819699999999,49.398576
19929,54787.0,SB HWY 99 AT PASCO RD,North Shore,West Vancouver,0,0,0,-123.25885,49.38599
19930,60885.0,WB MARINE DR AT NELSON AVE,North Shore,West Vancouver,0,0,0,-123.27936299999999,49.370244
19931,60886.0,WB HWY 1 OVERPASS AT MARINE DR,North Shore,West Vancouver,0,0,0,-123.27586200000002,49.369813
19932,61316.0,NB HWY 99 ONRAMP AT SEASCAPE DR,North Shore,West Vancouver,0,0,0,-123.24755800000001,49.398198
19933,61318.0,SB HWY 99 AT OCEAN POINT DR,North Shore,West Vancouver,0,0,0,-123.23386,49.43045
19934,61319.0,SB HWY 99 AT STRACHAN POINT RD,North Shore,West Vancouver,0,0,0,-123.232905,49.420432
19935,61527.0,NB HWY 99 AT PASCO RD,North Shore,West Vancouver,0,0,0,-123.25838,49.38635
19936,61528.0,NB HWY 99 OFFRAMP AT KELVIN GROVE WAY,North Shore,West Vancouver,0,0,0,-123.236624,49.452388
19937,54556.0,HORSESHOE BAY FERRY TERMINAL,North Shore,West Vancouver,35,32,17,-123.27283100000001,49.374190999999996
19938,54557.0,SB NELSON AVE AT BAY ST,North Shore,West Vancouver,7,6,0,-123.27689,49.37515
19939,54558.0,SB NELSON AVE AT 6400 BLOCK,North Shore,West Vancouver,0,0,0,-123.277801,49.372606
19940,54559.0,EB MARINE DR AT NELSON AVE,North Shore,West Vancouver,0,0,0,-123.27891000000001,49.37012
19941,54655.0,NB NELSON AVE AT CHATHAM ST,North Shore,West Vancouver,0,0,0,-123.27811499999999,49.371643
19942,54656.0,NB ROYAL AVE AT ARGYLE AVE,North Shore,West Vancouver,0,0,0,-123.276448,49.372015000000005
19943,54657.0,EB BRUCE ST AT ROYAL  AVE,North Shore,West Vancouver,0,0,0,-123.274588,49.3735
19944,54784.0,SB HWY 99 AT KELVIN GROVE WAY,North Shore,Lions Bay,5,6,0,-123.23766699999999,49.452393
19945,54785.0,SB HWY 99 AT LAWRENCE WAY,North Shore,West Vancouver,0,0,0,-123.24276200000001,49.403085
19946,54786.0,SB HWY 99 OFFRAMP AT ANSELL PL,North Shore,West Vancouver,0,0,0,-123.24819699999999,49.398576
